2025-06-25 14:30:07,482 INFO    MainThread:87685 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_setup.py:_flush():81] Configure stats pid to 87685
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_setup.py:_flush():81] Loading settings from /Users/rzty/.config/wandb/settings
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_setup.py:_flush():81] Loading settings from /Users/rzty/Regular/RLpathplanning/RLPathPlanning/wandb/settings
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/rzty/Regular/RLpathplanning/RLPathPlanning/wandb/offline-run-20250625_143007-3o9dyta6/logs/debug.log
2025-06-25 14:30:07,483 INFO    MainThread:87685 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/rzty/Regular/RLpathplanning/RLPathPlanning/wandb/offline-run-20250625_143007-3o9dyta6/logs/debug-internal.log
2025-06-25 14:30:07,489 INFO    MainThread:87685 [wandb_init.py:init():831] calling init triggers
2025-06-25 14:30:07,489 INFO    MainThread:87685 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'exp_name': 'ppo_for_planning', 'gym_id': 'CartPole-v1', 'learning_rate': 0.00025, 'seed': 1, 'total_timesteps': 250000, 'torch_deterministic': True, 'cuda': True, 'track': True, 'wandb_project_name': 'ppo-implementation-details', 'wandb_entity': None, 'capture_video': False, 'UPDATE_GLOBAL_ITER': 10, 'MAX_EP': 200, 'GAMMA': 0.99, 'num_envs': 2, 'num_steps': 512, 'anneal_lr': True, 'gae': True, 'gamma': 0.99, 'gae_lambda': 0.95, 'num_minibatches': 4, 'update_epochs': 4, 'norm_adv': True, 'clip_coef': 0.2, 'clip_vloss': True, 'ent_coef': 0.01, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'target_kl': None, 'batch_size': 1024, 'minibatch_size': 256, '_wandb': {'code_path': 'code/ppo_for_planning.py'}}
2025-06-25 14:30:07,489 INFO    MainThread:87685 [wandb_init.py:init():872] starting backend
2025-06-25 14:30:07,716 INFO    MainThread:87685 [wandb_init.py:init():875] sending inform_init request
2025-06-25 14:30:07,737 INFO    MainThread:87685 [wandb_init.py:init():883] backend started and connected
2025-06-25 14:30:07,739 INFO    MainThread:87685 [wandb_init.py:init():956] updated telemetry
2025-06-25 14:30:07,761 INFO    MainThread:87685 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-25 14:30:07,880 INFO    MainThread:87685 [wandb_init.py:init():1032] starting run threads in backend
2025-06-25 14:30:08,062 INFO    MainThread:87685 [wandb_run.py:_console_start():2453] atexit reg
2025-06-25 14:30:08,062 INFO    MainThread:87685 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-25 14:30:08,062 INFO    MainThread:87685 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-25 14:30:08,062 INFO    MainThread:87685 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-25 14:30:08,064 INFO    MainThread:87685 [wandb_init.py:init():1078] run started, returning control to user process
2025-06-25 14:30:08,064 INFO    MainThread:87685 [wandb_run.py:_tensorboard_callback():1567] tensorboard callback: runs/Inspection__ppo_for_planning__1__1750879803, True
2025-06-25 14:30:13,955 INFO    MsgRouterThr:87685 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
